ZONA;RESPONSABLE ZONA;TECNICO AGRICOLA RESPONSABLE;FINCA; UBICACIÓN TÉCNICA;FECHA DEL PROXIMO CORTE;Zona Agroecologica;FECHA DE SIEMBRA;FECHA DE ULTIMO CORTE;EDAD HOY MESES;NUMERO DE CORTE;VARIEDAD;AREA NETA HA;FECHA PROXIMO CORTE PPTO;TONELADAS PPTO;TONELADAS Estimadas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-010;2025/11/28;15H1;2020/12/05;2024/11/28; 11,0 ;05;CC 05-430;4,43;2025/12/11; 596 ; 642 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-020;2025/11/29;15H1;2020/12/04;2024/11/29; 10,9 ;05;VARIAS;10,63;2025/12/14; 1.431 ; 1.541 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-030;2026/05/06;15H1;2024/03/31;2025/04/06; 6,7 ;02;CC 05-430;19,33;2025/03/28; 2.934 ; 3.363 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-040;2026/09/20;15H1;2015/07/10;2025/09/20; 1,2 ;11;CC 01-1940;14,22;2025/09/15; 1.799 ; 1.849 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-050;2026/03/10;15H1;2021/01/30;2025/03/10; 7,6 ;05;CC 05-430;19,21;2025/03/20; 2.877 ; 3.065 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-060;2026/08/30;15H1;2025/08/30;2025/01/26; 1,9 ;01;CC 09-066;15,55;2025/01/29; 2.046 ; 2.258 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-071;2026/09/21;15H1;2019/08/10;2025/09/21; 1,2 ;07;VARIAS;17,67;2025/09/12; 2.307 ; 2.324 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-080;2025/12/23;15H1;2023/12/30;2024/12/23; 10,2 ;02;CC 05-430;12,00;2025/12/14; 1.518 ; 1.530 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-081;2026/06/20;15H1;2020/02/26;2025/06/20; 4,3 ;06;VARIAS;11,68;2025/06/03; 1.596 ; 1.607 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-090;2026/01/21;15H1;2022/01/26;2024/12/22; 10,2 ;04;CC 05-430;9,70;2025/12/30; 1.247 ; 1.266 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-100;2026/09/29;15H1;2018/08/16;2025/09/29; 1,0 ;08;CC 01-1940;17,11;2025/09/12; 2.095 ; 2.112 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-110;2026/07/02;10H3;2019/04/02;2025/07/02; 3,9 ;07;CC 10-450;20,22;2025/07/17; 2.558 ; 2.629 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-130;2026/08/09;15H1;2021/08/14;2025/08/09; 2,6 ;05;CC 99-2282;17,34;2025/08/15; 2.369 ; 2.218 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-140;2025/11/27;10H3;2020/11/17;2024/11/27; 11,0 ;05;CC 11-595;17,78;2025/12/15; 2.303 ; 2.400 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-150;2025/12/03;5H3;2021/11/30;2024/11/24; 11,1 ;04;CC 01-1940;17,85;2025/11/30; 2.222 ; 2.240 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-160;2026/10/04;5H3;2014/12/23;2025/09/04; 1,8 ;11;CC 01-1940;6,39;2025/07/29; 802 ; 818 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-170;2025/11/18;15H1;2009/09/04;2024/11/03; 11,8 ;17;CC 85-92;13,05;2025/10/31; 1.704 ; 1.717 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-171;2026/08/07;15H1;2021/04/01;2025/08/07; 2,7 ;05;CC 01-1940;11,10;2025/07/28; 1.460 ; 1.555 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-180;2026/09/25;15H1;2018/08/21;2025/08/26; 2,1 ;08;CC 01-1940;17,56;2025/08/29; 2.399 ; 2.417 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-181;2025/11/17;15H1;2020/10/24;2024/11/02; 11,8 ;05;CC 11-595;3,01;2025/10/31; 372 ; 375 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-190;2026/09/28;15H1;2012/09/30;2025/09/28; 1,0 ;14;CC 93-3826;17,14;2025/09/06; 2.272 ; 2.322 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-200;2025/12/13;15H1;2020/12/22;2024/11/28; 11,0 ;05;CC 11-595;10,54;2025/12/11; 1.301 ; 1.318 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-210;2026/08/26;15H1;2024/08/15;2025/08/26; 2,1 ;02;CC 05-430;5,24;2025/09/08; 769 ; 774 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-211;2026/09/29;15H1;2019/07/26;2025/09/29; 1,0 ;07;CC 05-430;5,23;2025/09/10; 667 ; 672 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-220;2026/11/01;23H0;2016/08/02;2025/10/02; 0,9 ;11;CC 93-3826;8,78;2025/09/18; 1.031 ; 1.039 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-221;2025/12/03;10H3;2015/06/26;2024/11/18; 11,3 ;11;CC 01-1940;4,48;2025/10/30; 576 ; 580 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
