AÑO	Ubic Técnica	Mes	Sector	  Corte	      Area	   Edad	      TC-mes	    TC-Total	     TCH	   TCHM	   Brix	Sacarosa	 Pureza	Rendimient	 Ton.Azucar	Ton.Azucar	Ton.Azucar (TAHM)
2020	2107-010	1	2107 EL LIBANO	3	10.49	11.8	1062.65	1062.65	101.301	8.585	18.608	16.356	87.851	11.82	125.608	11.974	1.015
2020	2117-062	1	2117 LA UNION	5	10.33	11.8	780.25	780.25	75.532	6.401	18.605	15.684	84.236	11.084	86.479	8.372	0.709
2020	2117-060	1	2117 LA UNION	6	4.66	11.7	467.31	467.31	100.281	8.571	17.483	15.075	86.187	10.785	50.401	10.816	0.924
2020	2118-101	1	2118 SAN GABRIEL	7	3.49	11.3	130.56	272.33	78.034	6.906	14.623	11.338	77.531	7.627	9.958	7.47	0.661
2020	2138-034	1	2138 CHUNE	6	3.83	11.7	153.4	427.31	124.9502924	9.709	17.831	15.179	85.065	10.784	16.543	12.089	1.033
2020	2138-010	1	2138 CHUNE	5	2.95	11.7	267.66	267.66	90.732	7.755	17.847	15.005	84.101	10.589	28.342	9.608	0.821
2020	2141-100	1	2141 TAULA	4	7.05	13.1		616.37	87.43	6.674						10.434	0.796
2020	2229-040	1	2229 SAN LUIS CASTILLA	6	6.36	11.1	496.65	496.65	78.09	7.035	15.484	12.904	83.337	9.062	45.004	7.076	0.637
2020	2229-044	1	2229 SAN LUIS CASTILLA	6	17.1	10.9	1291.62	1291.62	75.533	6.93	14.734	11.857	80.345	8.159	105.383	6.163	0.565
2020	2506-130	1	2506 CASTILLA	3	6.63	11.8	881.95	881.95	133.024	11.273	17.855	15.292	85.555	10.901	96.138	14.5	1.229
2020	2506-160	1	2506 CASTILLA	4	8.78	11.8	890.6	890.6	101.435	8.596	17.656	15.499	87.741	11.193	99.686	11.354	0.962
2020	2506-220	1	2506 CASTILLA	4	15.56	11.9	1519.71	1519.71	97.668	8.207	18.9	16.659	88.129	12.057	183.225	11.775	0.99
2020	2506-350	1	2506 CASTILLA	4	3.25	11.9	304.76	304.76	93.772	7.88	19.066	16.69	87.543	12.036	36.681	11.287	0.948
2020	2109-150	1	2109 POTRERILLO	3	18.64	11.9	1474.04	1474.04	79.079	6.645	18.425	15.999	86.755	11.488	169.341	9.085	0.763
2020	2110-092	1	2110 CALANDA	6	3.56	11.8	327	327	91.854	7.784	18.318	15.417	84.127	10.885	35.594	9.998	0.847
2020	2110-202	1	2110 CALANDA	4	4.3	11.9	298.5	298.5	69.419	5.833	19.231	17.125	89.023	12.459	37.19	8.649	0.727
2020	2110-220	1	2110 CALANDA	5	8.23	12.1	235.17	748.5	90.949	7.516	17.202	15.382	89.427	11.215	26.374	10.112	0.836
